lie,yards,pga tour,scratch,5 handicap,10 handicap,15 handicap,20 handicap,25 handicap
fairway,20,2.4,2.43,2.57,2.71,2.86,3,3.14
fairway,40,2.6,2.63,2.77,2.91,3.06,3.2,3.34
fairway,60,2.7,2.73,2.87,3.01,3.16,3.3,3.44
fairway,80,2.75,2.78,2.92,3.06,3.21,3.35,3.49
fairway,100,2.8,2.83,2.97,3.11,3.26,3.4,3.54
fairway,120,2.85,2.9,3.13,3.36,3.59,3.83,4.06
fairway,140,2.91,2.96,3.19,3.42,3.65,3.89,4.12
fairway,160,2.98,3.03,3.26,3.49,3.72,3.96,4.19
fairway,180,3.08,3.13,3.36,3.59,3.82,4.06,4.29
fairway,200,3.19,3.24,3.47,3.7,3.93,4.17,4.4
fairway,220,3.32,3.37,3.6,3.83,4.06,4.3,4.53
fairway,240,3.42,3.47,3.7,3.93,4.16,4.4,4.63
fairway,260,3.53,3.58,3.81,4.04,4.27,4.51,4.74
fairway,280,3.62,3.67,3.9,4.13,4.36,4.6,4.83
fairway,300,3.71,3.76,3.99,4.22,4.45,4.69,4.92
tee,100,2.92,2.97,3.2,3.43,3.66,3.9,4.13
tee,120,2.99,3.04,3.27,3.5,3.73,3.97,4.2
tee,140,2.97,3.02,3.25,3.48,3.71,3.95,4.18
tee,160,2.99,3.04,3.27,3.5,3.73,3.97,4.2
tee,180,3.05,3.1,3.33,3.56,3.79,4.03,4.26
tee,200,3.12,3.17,3.4,3.63,3.86,4.1,4.33
tee,220,3.17,3.22,3.45,3.68,3.91,4.15,4.38
tee,240,3.25,3.3,3.53,3.76,3.99,4.23,4.46
tee,260,3.45,3.5,3.73,3.96,4.19,4.43,4.66
tee,280,3.65,3.7,3.93,4.16,4.39,4.63,4.86
tee,300,3.71,3.76,3.99,4.22,4.45,4.69,4.92
tee,320,3.79,3.84,4.07,4.3,4.53,4.77,5
tee,340,3.86,3.91,4.14,4.37,4.6,4.84,5.07
tee,360,3.92,3.97,4.2,4.43,4.66,4.9,5.13
tee,380,3.96,4.01,4.24,4.47,4.7,4.94,5.17
tee,400,3.99,4.04,4.27,4.5,4.73,4.97,5.2
tee,420,4.02,4.07,4.3,4.53,4.76,5,5.23
tee,440,4.08,4.13,4.36,4.59,4.82,5.06,5.29
tee,460,4.17,4.22,4.45,4.68,4.91,5.15,5.38
tee,480,4.28,4.33,4.56,4.79,5.02,5.26,5.49
tee,500,4.41,4.46,4.69,4.92,5.15,5.39,5.62
tee,520,4.54,4.59,4.82,5.05,5.28,5.52,5.75
tee,540,4.65,4.7,4.93,5.16,5.39,5.63,5.86
tee,560,4.74,4.79,5.02,5.25,5.48,5.72,5.95
tee,580,4.79,4.84,5.07,5.3,5.53,5.77,6
tee,600,4.82,4.87,5.1,5.33,5.56,5.8,6.03
rough,20,2.59,2.62,2.76,2.9,3.05,3.19,3.33
rough,40,2.78,2.81,2.95,3.09,3.24,3.38,3.52
rough,60,2.91,2.94,3.08,3.22,3.37,3.51,3.65
rough,80,2.96,2.99,3.13,3.27,3.42,3.56,3.7
rough,100,3.02,3.05,3.19,3.33,3.48,3.62,3.76
rough,120,3.08,3.13,3.36,3.59,3.82,4.06,4.29
rough,140,3.15,3.2,3.43,3.66,3.89,4.13,4.36
rough,160,3.23,3.28,3.51,3.74,3.97,4.21,4.44
rough,180,3.31,3.36,3.59,3.82,4.05,4.29,4.52
rough,200,3.42,3.47,3.7,3.93,4.16,4.4,4.63
rough,220,3.53,3.58,3.81,4.04,4.27,4.51,4.74
rough,240,3.64,3.69,3.92,4.15,4.38,4.62,4.85
rough,260,3.74,3.79,4.02,4.25,4.48,4.72,4.95
rough,280,3.83,3.88,4.11,4.34,4.57,4.81,5.04
rough,300,3.9,3.95,4.18,4.41,4.64,4.88,5.11
sand,20,2.53,2.56,2.7,2.84,2.99,3.13,3.27
sand,40,2.82,2.85,2.99,3.13,3.28,3.42,3.56
sand,60,3.15,3.18,3.32,3.46,3.61,3.75,3.89
sand,80,3.24,3.27,3.41,3.55,3.7,3.84,3.98
sand,100,3.23,3.26,3.4,3.54,3.69,3.83,3.97
sand,120,3.21,3.26,3.49,3.72,3.95,4.19,4.42
sand,140,3.22,3.27,3.5,3.73,3.96,4.2,4.43
sand,160,3.28,3.33,3.56,3.79,4.02,4.26,4.49
sand,180,3.4,3.45,3.68,3.91,4.14,4.38,4.61
sand,200,3.55,3.6,3.83,4.06,4.29,4.53,4.76
sand,220,3.7,3.75,3.98,4.21,4.44,4.68,4.91
sand,240,3.84,3.89,4.12,4.35,4.58,4.82,5.05
sand,260,3.93,3.98,4.21,4.44,4.67,4.91,5.14
sand,280,4,4.05,4.28,4.51,4.74,4.98,5.21
sand,300,4.04,4.09,4.32,4.55,4.78,5.02,5.25
recovery,100,3.8,3.83,3.97,4.11,4.26,4.4,4.54
recovery,120,3.78,3.83,4.06,4.29,4.52,4.76,4.99
recovery,140,3.8,3.85,4.08,4.31,4.54,4.78,5.01
recovery,160,3.81,3.86,4.09,4.32,4.55,4.79,5.02
recovery,180,3.82,3.87,4.1,4.33,4.56,4.8,5.03
recovery,200,3.87,3.92,4.15,4.38,4.61,4.85,5.08
recovery,220,3.92,3.97,4.2,4.43,4.66,4.9,5.13
recovery,240,3.97,4.02,4.25,4.48,4.71,4.95,5.18
recovery,260,4.03,4.08,4.31,4.54,4.77,5.01,5.24
recovery,280,4.1,4.15,4.38,4.61,4.84,5.08,5.31
recovery,300,4.2,4.25,4.48,4.71,4.94,5.18,5.41
