feet,pga tour,scratch,5 handicap,10 handicap,15 handicap,20 handicap,25 handicap
1,1,1.01,1.03,1.06,1.08,1.11,1.13
2,1.01,1.01,1.04,1.06,1.09,1.11,1.14
3,1.05,1.06,1.08,1.11,1.13,1.16,1.18
4,1.15,1.15,1.18,1.2,1.23,1.25,1.28
5,1.26,1.26,1.29,1.31,1.34,1.36,1.39
6,1.36,1.36,1.39,1.41,1.44,1.46,1.49
7,1.44,1.45,1.47,1.5,1.52,1.55,1.57
8,1.52,1.52,1.55,1.57,1.6,1.62,1.65
9,1.58,1.58,1.61,1.63,1.66,1.68,1.71
10,1.63,1.63,1.66,1.68,1.71,1.73,1.76
15,1.78,1.79,1.81,1.84,1.86,1.89,1.91
20,1.88,1.88,1.91,1.93,1.96,1.98,2.01
30,1.98,1.99,2.01,2.04,2.06,2.09,2.11
40,2.06,2.06,2.09,2.11,2.14,2.16,2.19
50,2.14,2.14,2.17,2.19,2.22,2.24,2.27
60,2.21,2.22,2.24,2.27,2.29,2.32,2.34
90,2.4,2.41,2.43,2.46,2.48,2.51,2.53
