Lie,Yards,PGA Tour,Scratch,5 handicap,10 handicap,15 handicap,20 handicap,25 handicap
Fairway,20,2.4,2.43,2.57,2.71,2.86,3,3.14
Fairway,40,2.6,2.63,2.77,2.91,3.06,3.2,3.34
Fairway,60,2.7,2.73,2.87,3.01,3.16,3.3,3.44
Fairway,80,2.75,2.78,2.92,3.06,3.21,3.35,3.49
Fairway,100,2.8,2.83,2.97,3.11,3.26,3.4,3.54
Fairway,120,2.85,2.9,3.13,3.36,3.59,3.83,4.06
Fairway,140,2.91,2.96,3.19,3.42,3.65,3.89,4.12
Fairway,160,2.98,3.03,3.26,3.49,3.72,3.96,4.19
Fairway,180,3.08,3.13,3.36,3.59,3.82,4.06,4.29
Fairway,200,3.19,3.24,3.47,3.7,3.93,4.17,4.4
Fairway,220,3.32,3.37,3.6,3.83,4.06,4.3,4.53
Fairway,240,3.42,3.47,3.7,3.93,4.16,4.4,4.63
Fairway,260,3.53,3.58,3.81,4.04,4.27,4.51,4.74
Fairway,280,3.62,3.67,3.9,4.13,4.36,4.6,4.83
Fairway,300,3.71,3.76,3.99,4.22,4.45,4.69,4.92
Tee,100,2.92,2.97,3.2,3.43,3.66,3.9,4.13
Tee,120,2.99,3.04,3.27,3.5,3.73,3.97,4.2
Tee,140,2.97,3.02,3.25,3.48,3.71,3.95,4.18
Tee,160,2.99,3.04,3.27,3.5,3.73,3.97,4.2
Tee,180,3.05,3.1,3.33,3.56,3.79,4.03,4.26
Tee,200,3.12,3.17,3.4,3.63,3.86,4.1,4.33
Tee,220,3.17,3.22,3.45,3.68,3.91,4.15,4.38
Tee,240,3.25,3.3,3.53,3.76,3.99,4.23,4.46
Tee,260,3.45,3.5,3.73,3.96,4.19,4.43,4.66
Tee,280,3.65,3.7,3.93,4.16,4.39,4.63,4.86
Tee,300,3.71,3.76,3.99,4.22,4.45,4.69,4.92
Tee,320,3.79,3.84,4.07,4.3,4.53,4.77,5
Tee,340,3.86,3.91,4.14,4.37,4.6,4.84,5.07
Tee,360,3.92,3.97,4.2,4.43,4.66,4.9,5.13
Tee,380,3.96,4.01,4.24,4.47,4.7,4.94,5.17
